from,to,geodesic,chordal,centroid_dist,auc_gap,int_auc,ext_auc,auc_gap_rf,int_auc_rf,ext_auc_rf
JP-CRC,US-CRC,3.5477856371678493,3.78552017840942,35.91818264130359,0.2082470414201184,0.74375,0.5355029585798816,0.1564534023668639,0.778125,0.6216715976331361
JP-CRC,US-CRC-2,3.896306413853456,4.044459620243211,37.04631083777877,0.3113520408163265,0.74375,0.4323979591836735,0.32149234693877543,0.778125,0.4566326530612245
US-CRC,AT-CRC,3.64701694307168,3.827190087439791,28.713117621977354,-0.0065483405483405255,0.6521818181818182,0.6587301587301587,-0.06027667984189722,0.6136363636363636,0.6739130434782609
US-CRC,CN-CRC,3.5535978376667465,3.7808375741732063,31.88130418416002,-0.04951988351988357,0.6521818181818182,0.7017017017017018,-0.18190918190918193,0.6136363636363636,0.7955455455455456
US-CRC,DE-CRC,3.460676687483605,3.6801203509823863,22.134847435886236,-0.09087373737373738,0.6521818181818182,0.7430555555555556,-0.14969696969696977,0.6136363636363636,0.7633333333333334
US-CRC,FR-CRC,3.383904143065233,3.662007252355174,21.53843896555101,-0.09263723532885304,0.6521818181818182,0.7448190535106712,-0.07334167533672642,0.6136363636363636,0.6869780389730901
US-CRC,IT-CRC,3.711607774005365,3.913566660584997,32.4338818714508,0.009940438871473223,0.6521818181818182,0.642241379310345,-0.10619122257053293,0.6136363636363636,0.7198275862068966
US-CRC,IT-CRC-2,3.670046455829145,3.8865324346308174,28.02727008668485,-0.005184253246753201,0.6521818181818182,0.6573660714285714,-0.008015422077922052,0.6136363636363636,0.6216517857142857
US-CRC,JP-CRC,3.5477856371678493,3.78552017840942,35.91818264130359,-0.08406818181818176,0.6521818181818182,0.73625,-0.005738636363636362,0.6136363636363636,0.619375
US-CRC,US-CRC-2,3.848661132438439,4.0222489481822326,43.71635917697847,-0.06465491651205935,0.6521818181818182,0.7168367346938775,0.14807513914656772,0.6136363636363636,0.4655612244897959
US-CRC-2,AT-CRC,3.7231403964099483,3.953866326963735,33.82918172352735,0.08077294685990344,0.6822222222222223,0.6014492753623188,-0.07844030365769494,0.5488888888888889,0.6273291925465838
US-CRC-2,CN-CRC,3.796873398469188,3.9976431940205663,38.57397059182376,0.06435435435435444,0.6822222222222223,0.6178678678678678,-0.03419419419419423,0.5488888888888889,0.5830830830830831
US-CRC-2,DE-CRC,3.8474769684230106,4.040334716976847,45.30202534747569,0.05194444444444468,0.6822222222222223,0.6302777777777776,0.04194444444444445,0.5488888888888889,0.5069444444444444
US-CRC-2,FR-CRC,3.8254811775019255,3.986921321213797,41.741383921699494,0.06329243564628662,0.6822222222222223,0.6189297865759357,-0.10313709317111719,0.5488888888888889,0.6520259820600061
US-CRC-2,IT-CRC,3.975731211468091,4.077111120373702,39.59449264889355,0.12475095785440615,0.6822222222222223,0.5574712643678161,-0.020076628352490467,0.5488888888888889,0.5689655172413793
US-CRC-2,IT-CRC-2,3.999240293388963,4.135593261062601,41.294078475320255,0.08400793650793648,0.6822222222222223,0.5982142857142858,-0.07387896825396834,0.5488888888888889,0.6227678571428572
US-CRC-2,JP-CRC,3.896306413853456,4.044459620243211,37.04631083777877,0.14284722222222235,0.6822222222222223,0.5393749999999999,0.1595138888888889,0.5488888888888889,0.38937499999999997
US-CRC-2,US-CRC,3.848661132438439,4.0222489481822326,43.71635917697847,0.10640861275476665,0.6822222222222223,0.5758136094674556,0.03557527942143324,0.5488888888888889,0.5133136094674556
