plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,max_angle_deg,min_angle_deg,external_auc_fwd,external_auc_rev,internal_auc,auc_gap
PL085,PL090,71,72,3.6185594545559048,62.94530104930833,87.41885603193346,30.577731253458108,0.40555555555555556,0.4887005649717514,0.44772727272727275,0.042171717171717193
PL085,PL091,71,63,3.6931189918718252,64.12666073435953,86.48442386256447,28.867864563532187,0.6641509433962264,0.6398305084745763,0.44772727272727275,-0.21642367066895363
PL085,PL092,71,72,3.6640181243061916,63.557978949262655,88.7697833753952,29.7612553614432,0.6652777777777779,0.6440677966101694,0.44772727272727275,-0.2175505050505051
PL085,PL093,71,42,3.815247033905262,67.05514557912655,88.81275428535606,36.1922853621424,0.7183673469387755,0.6468926553672316,0.44772727272727275,-0.2706400742115027
PL086,PL087,72,72,3.5858488498470225,62.260327168096886,87.63613563852299,30.872701498461034,0.5625,0.5666666666666667,0.32222222222222224,-0.24027777777777776
PL086,PL088,72,72,3.6569977209749087,63.337192975020415,89.698615777864,32.77273443093714,0.525,0.6458333333333333,0.32222222222222224,-0.20277777777777778
PL086,PL089,72,72,3.685787429700689,64.16999532491603,89.3048815486102,31.060093870958323,0.5041666666666667,0.5222222222222223,0.32222222222222224,-0.1819444444444444
PL086,PL090,72,72,3.4886192829780076,59.82935914780809,89.15875154303102,27.699673406349,0.7388888888888889,0.6305555555555555,0.32222222222222224,-0.4166666666666667
PL086,PL091,72,63,3.6136223884496173,62.7066104668315,89.00039523824914,30.329332123737828,0.6396226415094339,0.5611111111111111,0.32222222222222224,-0.3174004192872117
PL086,PL092,72,72,3.545470501147259,61.215826475042526,86.75826960173266,26.921119627342343,0.44027777777777777,0.45,0.32222222222222224,-0.11805555555555552
PL086,PL093,72,42,3.564234128059084,62.58847154249148,86.87038187721778,34.82303194139699,0.5714285714285714,0.5624999999999999,0.32222222222222224,-0.24920634920634915
PL087,PL088,72,72,3.5275887353612116,61.0875351740397,88.35275376046393,30.92447681603169,0.625,0.6055555555555556,0.6444444444444445,0.019444444444444486
PL087,PL089,72,72,3.6811105081816056,63.59098595489347,89.53314587588997,31.562122936122687,0.6222222222222222,0.5263888888888889,0.6444444444444445,0.022222222222222254
PL087,PL090,72,72,3.625248055465036,62.54952174332618,89.95750907362005,31.55426882495302,0.42083333333333334,0.3888888888888889,0.6444444444444445,0.22361111111111115
PL087,PL091,72,63,3.5094612790510866,60.53399950025421,86.84034044442781,30.25958007984137,0.6433962264150943,0.5986111111111111,0.6444444444444445,0.0010482180293501786
PL087,PL092,72,72,3.6104971894655806,62.72991136517478,88.18160634246061,31.52763080883045,0.65,0.5722222222222222,0.6444444444444445,-0.005555555555555536
PL087,PL093,72,42,3.6513215320522394,64.20075715533339,86.99735534342366,40.22136939415208,0.4897959183673469,0.43472222222222223,0.6444444444444445,0.15464852607709756
PL088,PL089,72,72,3.698863591501494,64.53549679175835,85.41956128401317,31.364266738979236,0.6083333333333334,0.5138888888888888,0.4083333333333334,-0.2
PL088,PL090,72,72,3.4733696163091117,59.868280045386754,89.3800875857984,29.20783477493651,0.4625,0.41250000000000003,0.4083333333333334,-0.05416666666666664
